epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,7,,,,,0.6428571343421936,0.9407159090042114
0,7,,,0.5087719559669495,1.0372310876846313,,
1,15,,,,,0.7142857313156128,0.8495141863822937
1,15,,,0.640350878238678,0.9214854836463928,,
2,23,,,,,0.8214285969734192,0.7691228985786438
2,23,,,0.7017543911933899,0.8218650221824646,,
3,31,,,,,0.9642857313156128,0.701142430305481
3,31,,,0.8070175647735596,0.737636148929596,,
4,39,,,,,1.0,0.6358221769332886
4,39,,,0.859649121761322,0.6612392663955688,,
5,47,,,,,1.0,0.5749583840370178
5,47,,,0.9473684430122375,0.589767575263977,,
6,55,,,,,0.9642857313156128,0.5183353424072266
6,55,,,0.9736841917037964,0.5230213403701782,,
7,63,,,,,0.9642857313156128,0.468837708234787
7,63,,,0.9736841917037964,0.4601767957210541,,
8,71,,,,,0.9642857313156128,0.42482152581214905
8,71,,,0.9824561476707458,0.40397870540618896,,
9,79,,,,,0.9642857313156128,0.38768938183784485
9,79,,,0.9824561476707458,0.3551475703716278,,
10,87,,,,,0.9642857313156128,0.35461491346359253
10,87,,,0.9736841917037964,0.31269893050193787,,
11,95,,,,,0.9642857313156128,0.3299369215965271
11,95,,,0.9824561476707458,0.27695098519325256,,
12,103,,,,,0.9642857313156128,0.3065212368965149
12,103,,,0.9824561476707458,0.2463187724351883,,
13,111,,,,,0.9642857313156128,0.2864595949649811
13,111,,,0.9824561476707458,0.21963082253932953,,
14,119,,,,,0.9642857313156128,0.26935330033302307
14,119,,,0.9824561476707458,0.1969652622938156,,
15,127,,,,,0.9642857313156128,0.2553963363170624
15,127,,,0.9824561476707458,0.1769469976425171,,
16,135,,,,,0.9642857313156128,0.24374175071716309
16,135,,,0.9824561476707458,0.15999044477939606,,
17,143,,,,,0.9642857313156128,0.2332575023174286
17,143,,,0.9824561476707458,0.1461968868970871,,
18,151,,,,,0.9642857313156128,0.22266091406345367
18,151,,,0.9912280440330505,0.13407085835933685,,
19,159,,,,,0.9642857313156128,0.21265704929828644
19,159,,,0.9912280440330505,0.12317772209644318,,
20,167,,,,,0.9642857313156128,0.2041635513305664
20,167,,,0.9912280440330505,0.11362477391958237,,
21,175,,,,,0.9642857313156128,0.19677965342998505
21,175,,,0.9912280440330505,0.1052263081073761,,
22,183,,,,,0.9642857313156128,0.19022400677204132
